username,location,text,tweet_date,hashtags_extracted
"John Daniel, MD, MS","Kansas City, Missouri",These researchers paved the way for the Covid vaccine: Dr. Kati Kariko and Dr. Drew Weissman. #PedsICU #COVID19 https://t.co/QFSRiCXLFR,2021-05-12 23:58:51,"pedsicu,covid19"
Sunny Days 🌞,  OurHouse 🌎🌍🌏,"World’s most vaccinated nation sees COVID-19 resurgence, raising questions over Chinese vaccine https://t.co/oj25gPluTW #SmartNews",2021-05-12 23:57:35,smartnews
vєrítαs dσlσr ☆彡 ★彡 ✫彡 ✵彡 ミ★ ミ☆,Down the Rabbit Hole,"India’s Health ambassador dies 1 day after taking COVID vaccine #shot #reaction #COVID19India #COVID19 

 https://t.co/jlINfyZVCK",2021-05-12 23:56:00,"shot,reaction,covid19india,covid19"
VolunteerMarlborough,Marlborough District,"... ➜ There is a plan for who will get vaccinated and when. Individuals can easily identify when they can get the vaccine through a quick online questionnaire (https://t.co/NqaVIIGHaW)

https://t.co/5gPbEDjgcm (@volunteeringnz)
[2/2]
#COVID19Vaccination #covid19nz #volunteers",2021-05-12 23:54:12,"covid19vaccination,covid19nz,volunteers"
David Colvin,,"The Republican-sponsored HB21-1191 is scheduled for its first committee meeting on Wednesday, though it faces an uphill battle with.......

COVID vaccine: Colorado GOP lawmakers want to make sure employers can't force you to get inoculated https://t.co/e6lq1XPRvg via @denverpost",2021-05-12 23:52:46,
Eric Berte,"Raleigh, NC",So the pipeline was delivering covid vaccine?🤔 #COVID19 #ColonialPipelineHack https://t.co/InRDnUmdtT,2021-05-12 23:51:26,"covid19,colonialpipelinehack"
Children's Hospital LA,"Los Angeles, CA",It's official: Children ages 12 and up are now eligible for the #COVID19 #vaccine. 🎉 Get the facts from a @ChildrensLA epidemiologist: https://t.co/rFC3hveIsj,2021-05-12 23:48:34,"covid19,vaccine"
Nessa Keiphielethy,"She, Her","Does this mean vaccine hesitancy among young men will be seeing a steep drop? Maybe? #COVID19 #Covid19GivesYouErectileDysfuntion 

https://t.co/jJDWf1BBsM https://t.co/yh0qktHZW7",2021-05-12 23:47:53,"covid19,covid19givesyouerectiledysfuntion"
CB Wear a Mask Thomas,,"CDC OKs #PfizerVaccine for use in adolescents, clearing way for shots to begin Thursday. #COVID19
https://t.co/RmStneFAWV",2021-05-12 23:47:48,"pfizervaccine,covid19"
Socorro ISD,"El Paso, TX USA","#TeamSISD &amp; @ImmunizeElPaso to provide COVID-19 vaccines for students ages 12-15, 9 a.m.-3 p.m. Saturday, May 15. Pre-register at https://t.co/UvBJgRbE39. SISD is also working with @THProvidence to provide the vaccine, pre-register: https://t.co/AeytgLZkEA https://t.co/OJvVK2YOVT",2021-05-12 23:45:38,teamsisd
Nevada PEP,"Nevada, USA","BIG NEWS!  Families Can Schedule a COVID-19 Vaccine for Youth 12 to 15 Years Old 

https://t.co/LDmBvehBDI

#Nevada #Vegas #Reno #ClarkCounty #WashoeCounty #COVID19 #Vaccine #Immunize #youth #teens #students #school #healthy https://t.co/6orX1y1HNT",2021-05-12 23:45:03,"nevada,vegas,reno,clarkcounty,washoecounty,covid19,vaccine,immunize,youth,teens,students,school,healthy"
Senator Adam Gomez,"Springfield, MA","The Pfizer Vaccine  is now available at CVS for children ages 12-15 nationwide. Starting Thursday, it will be offered at 154 CVS locations in Massachusetts. #COVID19 #VaccineUpdate 
https://t.co/Uqo2LR57Tp",2021-05-12 23:43:47,"covid19,vaccineupdate"
NCC,"Bethlehem, PA",#Volunteer at #NCC Monroe Campus COVID-19 Vaccine Clinic on various dates in May and June. Sign-up for shifts as either a scribe or an observer. Receive a Certificate of Completion &amp; put this your resume! More info and sign-up at https://t.co/8OEJSi6wwk,2021-05-12 23:43:00,"volunteer,ncc"
Waikato Times,"Hamilton, New Zealand",Pacific community given facts on Covid-19 vaccine https://t.co/XHWrwnUybI,2021-05-12 23:42:27,
Zainab,Canada,"By the way, @Self_Reg friends - I am getting my first vaccine for COVID-19 this Sunday afternoon! #TMCTalks #vaccine #COVID19 #quarantinelife #staysafe",2021-05-12 23:42:05,"tmctalks,vaccine,covid19,quarantinelife,staysafe"
يونيسف مصر,"Cairo, Egypt","Today, Egypt is receiving a new shipment of the AstraZeneca/Oxford vaccine! 1.77 million doses of #COVID19 vaccines arrived at Cairo International Airport as part of the #COVAX initiative to accelerate global access to COVID-19 vaccines. #VaccinesWork https://t.co/zvEYaZ4XO5",2021-05-12 23:40:51,"covid19,covax,vaccineswork"
Brunswick County,"Bolivia, NC","Safety of #COVID19 vaccines is considered before any vaccine is recommended for use. Learn more about how CDC and its partners ensure the safety of COVID-19 vaccines: https://t.co/YKHW0FxYih #Brunsco

Need an appointment? Book online now: https://t.co/M181utzrkY https://t.co/3LOIAQuJwq",2021-05-12 23:35:03,"covid19,brunsco"
BIV News,"Vancouver, B.C.","Good to see active #COVID19 infections in B.C. steadily grind lower. Officials provided second-highest number of vaccine doses in past day.
Eligibility for age-based roll-out to drop to 30 ""later today.""
But, one more person has died from COVID-19 in B.C.
https://t.co/jXXaZMGqMe",2021-05-12 23:33:53,covid19
H L Wegley,Seattle area,"#JohnsonandJohnson #COVID19 Vaccine Linked to More #BloodClot Cases: CDC
28 cases have been reported and 3 people died. Most of the cases were among women aged 18 to 49.
https://t.co/xaB7Lb5VeF",2021-05-12 23:32:40,"johnsonandjohnson,covid19,bloodclot"
Ben Shadow,"MHSPtowers, england",Tomorrow is my final COVID-19 Vaccine!! https://t.co/7HQa71bvK8 via @YouTube @RoxylouRoxy @Maestromidget @CunningXDuck @magiecat #COVIDVaccination #COVID19 #NeedlePhobia,2021-05-12 23:32:37,"covidvaccination,covid19,needlephobia"
Glen Korstrom,Vancouver,"Good to see active #COVID19 infections in B.C. steadily grind lower. Officials provided second-highest number of vaccine doses in past day.
Eligibility for age-based roll-out to drop to 30 ""later today.""
But, one more person has died from COVID-19 in B.C.
https://t.co/CxWi5Fb8mC",2021-05-12 23:32:36,covid19
toronto.com,Toronto,These employers are hosting #COVID19 #vaccine clinics. Will yours? https://t.co/D2RIMsLD5w https://t.co/UJ5ZzVR2hI,2021-05-12 23:30:04,"covid19,vaccine"
Center for Urban Community Services | CUCS,"New York, NY","The CDC signed off on expanded usage of Pfizer #COVID19 vaccine for 12- to 15-year-olds, clearing the way to start giving out the shots across the U.S. as early as tomorrow. 
https://t.co/SopmXiNzVM",2021-05-12 23:29:44,covid19
Miles Kelly,"Vancouver, Canada",Does the Oxford-AstraZeneca vaccine contain aborted fetal cells? https://t.co/ZJVzOTa6NX,2021-05-12 23:29:21,
Fight Against Conspiracy Theories,New Zealand,"Researcher @Knhannah explains what to look for to identify misinformation about Covid-19  and the vaccine after the Pharmacy Council issued a warning to an Auckland chemist who unwittingly helped distribute Covid19 misinformation, including the 'Real News' https://t.co/4ycGqZfmFH",2021-05-12 23:27:31,
Steven D Rowe,"Vancouver, Canada","Our area - high number of #COVID19 cases, low rate of vaccinations. I haven't seen any awareness campaigns in our area to share this data or to assure people the vaccine is safe, hopefully, I'm wrong.
https://t.co/wZ7KxoE9tJ",2021-05-12 23:26:10,covid19
KAKE News,"Wichita, Kansas",BREAKING: @GovLauraKelly announced that Pfizer's COVID-19 vaccine will now be available to those ages 12 and older. https://t.co/bSqHuWPImk #KAKEnews,2021-05-12 23:23:13,kakenews
Dr. Jonathan Golding,"Lexington, KY",The plan is to encourage students to get a Covid-19 vaccine—not require a vaccine—at West Virginia University and Marshall University! #bbn #WVU #COVID19 #COVID19Vaccination #marshallu #college https://t.co/NcbBuU6WZc,2021-05-12 23:21:17,"bbn,wvu,covid19,covid19vaccination,marshallu,college"
🏳️‍🌈♿ Ad'm #BLM Martin,"Adelaide, South Australia","I successfully booked both my Pfizer shots yesterday. I am disabled &amp; &lt;50, 1b. See if you can too. 
https://t.co/WYIISllrXo #disability #covid19 #vaccine #Adelaide #SouthAustralia",2021-05-12 23:21:17,"disability,covid19,vaccine,adelaide,southaustralia"
Lisa Renee 🇨🇦🎧🎮,"Toronto, ON, Canada","I got #MyCOVIDvax! When it's your turn to get the #COVID19 vaccine, add the pink bandage to your profile. https://t.co/Hv9pSKkaHB",2021-05-12 23:20:51,"mycovidvax,covid19"
UC San Francisco,"San Francisco, CA",Use of the J&amp;J #COVID19 vaccine has resumed after a pause recommended by FDA and CDC in order to study reports of severe blood clots. Infectious disease expert @MonicaGandhi9 answers some of the biggest questions around the vaccine in our updated story. https://t.co/9VzE92zls0,2021-05-12 23:15:50,covid19
SA Metro Health,"San Antonio, Texas","We are addressing your questions pertaining to COVID-19 vaccinations. Today's question is: If I’ve already had COVID-19, can I still get the new strain? For more information about COVID vaccine, visit our FAQ’s page https://t.co/YINlzNy6IB https://t.co/t7drUJfy1c",2021-05-12 23:15:06,
Mike Ballard ⚓️⚓️⚓️⚓,Western Australia,Moderna announces 25 million doses of their COVID-19 vaccine for Australians under the age of 50. Over 50s can risk blood clots and the less effective Astra-Zenica vax against new strains of #COVID19  . https://t.co/bzoyXudZqS,2021-05-12 23:13:58,covid19
Rolando Garcia,"Maryland, USA",Combating COVID-19 Vaccine Misinformation #COVID19vaccine #COVIDvaccine #COVID19 #COVID Please click on the link: https://t.co/k3R31TsPhW https://t.co/4M6KKQ0prC,2021-05-12 23:08:08,"covid19vaccine,covidvaccine,covid19,covid"
ABS-CBN News,"Manila, Philippines",• Pfizer vaccine effective against #COVID19 variants in Japan: study https://t.co/JMU13zqjv5,2021-05-12 23:05:10,covid19
ABS-CBN News,"Manila, Philippines",• Manila Mayor Isko Moreno is criticizing the slow deployment of #COVID19 vaccines in the Philippines. https://t.co/NCFSF3AKus,2021-05-12 23:05:07,covid19
Ensheng Dong,"Baltimore, MD","The @JohnsHopkins #COVID19 dashboard got a new look! We will also add the historic vaccine data in GitHub! Cheers! Desktop version: https://t.co/bEV6Gfw69e
Mobile version: https://t.co/4R2riPYMC5
GitHub:
https://t.co/3cy30PX9mp https://t.co/c6Kpe1xjfB",2021-05-12 23:04:38,covid19
Sciblogs NZ,New Zealand,"For those who have been hearing that our COVID-19 vaccine doesn’t stop the disease passing from person to person -

COVID-19 vaccines prevent spread of the virus too
https://t.co/kQ3FFDiWyZ

by @BioinfoTools #COVID19 #vaccine #transmission https://t.co/UZMvovcgyR",2021-05-12 23:04:26,"covid19,vaccine,transmission"
Steve Colbran,"Coogee, Sydney, Australia","Thinking of having whatever vaccine is available, then updating later with one of the ‘better’ ones...

More frequent side-effects reported mixing Pfizer and Oxford Covid jabs, study suggests 

| #vaccine #immunisation #vaccination #covid19| The Guardian https://t.co/pwPEL6uk55",2021-05-12 23:03:16,"vaccine,immunisation,vaccination,covid19"
Cambridge Health Alliance (CHA),"Cambridge, MA","Starting tomorrow, 5/13, children ages 12+ can get the #COVID19 #vaccine at CHA's three sites in Somerville, Everett and Medford - walk-ins are welcome - click for details, including extended hours: https://t.co/UNROhcMrKq",2021-05-12 23:02:55,"covid19,vaccine"
AAP-CA Chapter 3,San Diego,"The @AmerAcadPeds' Committee on Infectious Diseases released a #policystatement today regarding the #COVID19 #vaccine for children and adolescents.

Swipe through for the full statement along with recommendations.

#COVID #COVID19Vaccination #CovidVaccine @US_FDA #ThisIsOurShot https://t.co/GsEOjVJue8",2021-05-12 23:02:16,"policystatement,covid19,vaccine,covid,covid19vaccination,covidvaccine,thisisourshot"
𝕿𝖍𝖔𝖒𝖆𝖘·王 🍁,"Vancouver 溫哥華, Canada 加拿大 🇨🇦","Mixing COVID-19 vaccine doses leads to more reactions, study finds | CBC News https://t.co/Qy3N8Ewd31 #COVID19 #COVID_19 #COVIDVaccine #COVID19Vaccine #COVIDVaccination #COVID19Vaccination",2021-05-12 23:01:51,"covid19,covid_19,covidvaccine,covid19vaccine,covidvaccination,covid19vaccination"
Central District Health,"Boise, ID","Ada Co. COVID-19 #s for today -   

Cases: 52,149 (55 new) 
Deaths: 466 (3 new)   

CDH Dashboard: 
https://t.co/c3B10wR53F 

Vaccine Locations: 
https://t.co/BtB1VeSiCL 

Mobile Vaccine Provider List:
https://t.co/AVmpzEh7kH

Public Health Advisory:
https://t.co/a8szuz36uY",2021-05-12 23:01:10,s
MurrumbidgeePHN,NSW,"COVID-19 vaccination hubs are open and ready to take bookings. 

Visit one of the five local vaccination hubs to receive your COVID-19 vaccination today. 

Check your eligibility here:
https://t.co/BOIH8had4t

Book in to your nearest vaccination hub here:
https://t.co/1ke21VHVhf https://t.co/OHHuY5xt0l",2021-05-12 23:00:58,
