,text,favourite_count,retweet_count,created_at,username,location
0,"At least 235 journalists in India have lost their lives to COVID-19, a list from the Network of Women Journalists showed, a toll said blamed on their not being given priority for vaccinations #journalists #mediafreedom #India #COVID19 https://t.co/y3MQHonb96",0,0,2021-05-10 18:55:17,BlueprintGreece,"Athens, Greece"
1,@makeperceptions @kiranshaw @tinucherian @OfficeofUT @mybmc “Those who are lucky will survive..whoever has to die will die”. We travel to rural Uttar Pradesh for our latest ground report. Warning - this is very distressing. #India #COVID_19. With Fred Scott &amp; Sanjay Ganguly #BBCNewsTen https://t.co/WbtZ7MSFHV https://t.co/x5fj6xHxx2,0,0,2021-05-10 18:50:02,Indie Chomsky,
2,Covid-19 &amp; The Constitution https://t.co/jXSU5X8bfi #LKA #SriLanka #COVID19 #COVID19SL #COVID19LK #Health #PublicHealth #India,1,0,2021-05-10 18:46:42,Colombo Telegraph,
3,"Egypt's Eva Pharma to export COVID-19 drug remdesivir to India
https://t.co/yoWkg0MSes
#Egypt's #Eva #Pharma #Export #Covid-19 #Drug #Remdesivir #India",0,0,2021-05-10 18:45:08,Dennis ,
4,#WHO classifies Indian #COVID19  strain as 'variant of concern at global level' #India https://t.co/VW9Q7AMfsD via @indiatoday,0,0,2021-05-10 18:42:14,Eli Dror,"Florida, USA"
5,"#Cricket 'My World Has Gone Upside Down': @vedakmurthy08 Pens Emotional Note After Losing Mother, Sister To #COVID19 

#VedaKrishnamurthy #Veda #indiancricket #TeamIndia #cricketnews #CoronaVirus #CoronavirusIndia #India #Covid

https://t.co/LPK5iQ5B0m",0,0,2021-05-10 18:42:01,India.com,India
6,"#Cricket 'My World Has Gone Upside Down': @vedakmurthy08 Pens Emotional Note After Losing Mother, Sister To #COVID19 

#VedaKrishnamurthy #Veda #indiancricket #TeamIndia #cricketnews #CoronaVirus #CoronavirusIndia #India #Covid

https://t.co/6xDSlAp6jk",0,0,2021-05-10 18:41:50,CricketCountry,Global
7,"#India

""Doctors in India warn about 'black fungus', a fungal infection found in some recovering COVID-19 patients""  https://t.co/nEHBHIZoGD",0,0,2021-05-10 18:41:09,D,Canada
8,Lethal black fungus that rots organs emerges in #Covid19 patients across #India https://t.co/Z4gputqjL3,0,0,2021-05-10 18:38:52,Jukka Isorinne,Paris
9,"As #India battles a horrific wave of #COVID-19, we have seen a huge response from our #grantmakers looking to support aid efforts in the country. We have compiled a list of Indian NGOs certified in our repository that work in health and development. https://t.co/fnW81z8EHi",0,0,2021-05-10 18:31:59,NGOsource,"San Francisco, CA"
10,"Ok, this didn’t just make me sit up straight, eyes 👀 wide open in horror, nope, not, at, all &gt;&gt;&gt;&gt;

Lethal black fungus that rots organs emerges in Covid-19 patients across India - The Telegraph

Oh #India - sending you love 🇮🇳  https://t.co/xcN64fZsUf",38,14,2021-05-10 18:28:15,ᎠᏌNᎬᎷYᎢᎻᎪNᏩ™️ IS FULLY VACCINATED‼️,"California, USA"
11,How New Yorkers are organizing aid for #India’s #COVID19 crisis https://t.co/AU5RA7IrlQ,0,0,2021-05-10 18:27:23,Rocco Vertuccio,New York City
12,"#Egyptian drugmaker Eva Pharma has signed a deal to provide 300,000 doses of Covid drug #remdesivir to #India, the company said in a statement reported by Reuters. The drug targets moderate to severe cases of Covid-19 in intensive care who require #oxygen.",1,0,2021-05-10 18:25:50,RiverRising,
13,"COVID-19: scores of people queue up to procure Remdesivir from govt medical college in Chennai see video click links - https://t.co/2fZTkwjBTc
#India​​ #Covid19​​ #Lockdown​​ #Lockdown2021​​ #Chennai​​ #Remdesivir​​ #TamilNadu​​ #Kilpauk​​ @ANI",2,1,2021-05-10 18:21:53,Hindi Breaking News Adda,india
14,"Pakistan Super League Season 6 Remaining Matches unlikely to resume in United Arab Emirates (UAE) due to COVID-19 travel ban.

Know More Details in This Video:
https://t.co/IOPPFnd75D

#Cricket #PSL6 #PSL2021 #Pakistan #UAE #PSL6Cancel #IPL2021 #PAKvZIM #ZIMvPAK  #India https://t.co/a5iq5TWPZb",1,0,2021-05-10 18:18:38,CricYes,Global
15,#iCreate has announced the launch of critical health-tech devices developed by.. #startup #CoronavirusIndia  #india #entrepreneur #3Dprinting  #healthcare #Ventilator #tech #technews #business  https://t.co/v36ISA05Pi,1,1,2021-05-10 18:15:35,WebKarobar Inc.,
16,"Nepal asks Mount Everest climbers to return oxygen canisters amid oxygen shortage, surging COVID cases #OxygenCylinders #Oxygen #Nepal #India #Coronavirus #COVID #COVID19 #COVID_19 https://t.co/BslSi4nn9j",1,1,2021-05-10 18:15:00,www.THEPIGEONEXPRESS.com,
17,".@NASAJPL is calling for #India partners to seed local manufacture of 3-D printed #COVID19 masks with open-source specs 👉 https://t.co/EFmBVeEeW4🙏 Doug Hofmann @chrismattmann @nasa
Attn: @swasthapp @IndiaCOVIDSOS @actgrants @sapnapoti #IndiaFightsBack #EveryBreathCounts",0,0,2021-05-10 18:13:00,JustACTIONS,New York City
18,#Mucormycosis: The #BlackFungus Affecting #COVID19 Patients in some states in #India https://t.co/avV0ggAAXg via @boomlive_in,0,0,2021-05-10 18:08:57,timethief (retired paralegal judicial assistant),"Salish Sea, B.C."
19,"There are serious concerns over several ports refusing to allow crew changes in those ships which have called on Indian ports over the previous 14 days.

#Shipping #India #Disruption #Supplychain #COVID19 #Future #FreightRates  https://t.co/Xk1N4cJIPJ",0,0,2021-05-10 18:05:50,Rakesh PANDIT,"Pune, Mumbai & Dehradun "
20,"Bajaj Healthcare (BHL) Stock Skyrockets with India Regulators Authorizing Generic Ivermectin for COVID-19 Indication

https://t.co/gVBORiPUWs

#Approved #Authorized #Bajaj #Healthcare #COVID-19 #India #Ivermectin https://t.co/ncwVmexvCN",10,6,2021-05-10 18:00:37,TrialSite News,"Salt Lake City, Utah"
21,"SCARY:: Lethal black fungus that rots organs emerges in Covid-19 patients across India #COVID19 #India 
https://t.co/AhzenvvJbq",0,0,2021-05-10 18:00:12,oooo Mané Mané,India
22,"About 40 bodies believed to be Covid-19 victims have washed up on the banks of the Ganges River in northern #India as the pandemic spreads into India’s vast rural hinterland, overwhelming local health facilities as well as crematoriums and cemeteries.
https://t.co/GDE8obTN8j",1,1,2021-05-10 17:50:07,RiverRising,
23,"Nepal has asked mountain climbers to return back oxygen canisters, as the nation grapples with a second wave of the coronavirus #OxygenCylinders #Oxygen #Nepal #India #Coronavirus #COVID #COVID19 #COVID_19 

READ: https://t.co/a5hae4ZOe5 https://t.co/JIcuMd1V98",0,0,2021-05-10 17:50:00,Mail Of The Day,
24,"India scrambles to scale up care for COVID-19 patients amid fear of surge in northeast
https://t.co/idRrGaa1ZX
#India #COVID19 #covid19india https://t.co/eR6DT1tqNf",0,0,2021-05-10 17:49:04,World ABC News,
25,"Scary……
Lethal black fungus that rots organs emerges in #Covid-19 patients across #India

https://t.co/wrUGPqmEHM",2,1,2021-05-10 17:48:34,Nervana Mahmoud,"England, United Kingdom"
26,@SkyNews why has your coverage of the COVID 19 situation in India disappeared overnight? #COVID19 #India #coronavirus,0,1,2021-05-10 17:46:33,danny coupland,
27,"#IndiaCovid_19 
#India 
#India_Endia 
Hate from#Kashmir 
#Covid_19 
India Covid: Dozens of bodies wash up on banks of Ganges river - BBC News https://t.co/sBfDs4ftfl",0,0,2021-05-10 17:44:04,KASHMIR,
28,CWC postpones elections for Congress President due to Covid: The Congress Working Committee on Monday decided to postpone the presidential polls of the party due to the surge in Covid-19 cases. “The CWC considered the election schedule for… https://t.co/SkI1u8pyO3 #India #NEWS,0,1,2021-05-10 17:42:33,Weekly Voice,Toronto
29,"@plagiarismking @dhruv_trivedi30 @MumbaiPolice From the @WHO Even when you’re in an area of COVID-19 transmission, masks *should not be worn* during vigorous physical activity because of the risk of reducing your breathing capacity. #EducateYourself #COVID19 #India",0,1,2021-05-10 17:42:05,Alamara Khan,"Dubai, United Arab Emirates"
30,"India's COVID-19 surge to unleash drastic disruptions in maritime industry. 
Read more: https://t.co/4FF2UaRNm8
Source: https://t.co/NVRCDSwYMs
#covid #india #shipping #logistics #maritime #cargo #covid19news https://t.co/f4AYVn3Drd",1,1,2021-05-10 17:39:21,NavieramarTM,"Houston, TX"
31,"#Goa #India ""Minister for Health, Industries, Trade &amp; Commerce, Women &amp; Child Development, Skill Development"" advocating the Government of Goa's insane decision to promote #Ivermectin for all. Merck: ""No scientific basis for a potential therapeutic effect"" https://t.co/eBtZtwW9Ue https://t.co/rgEEfWeWEn",0,0,2021-05-10 17:36:15,Joel Rodrigues,Portugal
